STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,,MUS,BST
NORTH,6729,44,46,18,19,,35,,42,54,68,,,,,,,,
CENTRAL,6757,34,54,19,14,,13,,49,65,62,,,,,,,,
CENTRAL,6799,43,53,33,29,34,34,,,61,,,,,,,,,56
ALPHA,6738,34,48,25,28,,28,,60,67,,,49,,,,,,
CENTRAL,6679,36,51,34,32,,29,47,,60,,,,,,,,,49
ALPHA,6872,46,47,31,37,,30,58,,47,,,,38,,,,,
ALPHA,6916,51,52,37,31,36,25,,,52,,,,47,,,,,
WEST,6911,44,45,25,30,,27,46,,57,,59,,,,,,,
EAST,6698,44,47,23,26,,22,59,,63,,,46,,,,,,
CENTRAL,6769,50,54,28,31,,21,,44,60,,,41,,,,,,
WEST,6731,19,57,36,30,33,33,52,,67,,,,,,,,,
WEST,6857,44,46,21,25,,18,49,,67,54,,,,,,,,
NORTH,6699,36,50,42,19,,26,,41,60,,,,,46,,,,
CENTRAL,7236,49,42,44,34,34,26,,,54,58,,,,,,,,
NORTH,6693,37,49,33,29,,28,48,,68,48,,,,,,,,
CENTRAL,6805,46,52,35,32,,29,,44,58,,,39,,,,,,
SOUTH,6652,46,40,42,30,23,28,,,58,57,,,,,,,,
NORTH,6675,42,50,19,23,,40,53,,55,,,,33,,,,,
CENTRAL,6919,43,53,35,32,39,31,,49,48,,,,,,,,,
WEST,6850,51,53,26,28,,28,,49,54,,,,,,,,,41
WEST,6901,29,47,35,28,,25,,53,62,,,,,,,,,46
SOUTH,6718,44,53,32,25,,20,,49,53,,,,,,,,,46
EAST,6728,44,46,36,30,,30,,49,60,,,,25,,,,,
ALPHA,6768,44,46,22,22,,20,,50,56,,,45,,,,,,
NORTH,6747,42,42,23,22,,31,46,,55,47,,,,,,,,
SOUTH,6625,50,52,21,27,,16,,32,44,,,,,,,,62,
EAST,6925,41,45,14,24,,23,,54,59,,,40,,,,,,
EAST,6722,34,34,26,5,,31,,60,70,,,38,,,,,,
SOUTH,6616,43,57,18,21,,18,37,,55,,,,,46,,,,
CENTRAL,6661,37,53,14,21,,18,46,,63,40,,,,,,,,
CENTRAL,6836,46,41,42,29,31,31,,51,43,,,,,,,,,
WEST,6623,39,48,52,21,30,27,,,38,,,,,,,,59,
ALPHA,6600,42,52,22,26,,27,48,,53,,,,,43,,,,
SOUTH,6870,53,51,30,27,29,19,,,57,,,,,,,,,42
CENTRAL,6717,51,48,20,20,,27,41,,52,,,,43,,,,,
WEST,6895,38,40,18,17,,20,55,,58,44,,,,,,,,
WEST,6773,37,49,16,12,,19,,35,53,64,,,,,,,,
ALPHA,6624,38,50,14,16,,11,41,,52,53,,,,,,,,
ALPHA,6786,33,45,31,28,,30,,47,48,,,,,,,,,49
WEST,6917,47,39,25,24,,35,48,,54,,,,39,,,,,
ALPHA,6902,44,47,32,22,37,24,42,,57,,,,,,,,,
EAST,6770,45,43,32,32,,19,31,,44,59,,,,,,,,
NORTH,6929,36,59,21,23,,30,,44,53,,,,,,,,,36
SOUTH,6784,42,49,20,17,,20,,30,55,,,,,54,,,,
WEST,6889,44,45,42,20,29,20,,,53,40,,,,,,,,
NORTH,6741,29,43,29,25,,33,39,,56,,,46,,,,,,
SOUTH,6742,36,50,27,27,,19,,36,46,,,35,,,,,,
ALPHA,6780,35,46,14,20,,21,,37,51,38,,,,,,,,
WEST,6635,43,48,13,17,,9,,30,53,,,,,,,,,31
CENTRAL,6823,33,48,28,26,,24,,43,40,,,30,,,,,,
WEST,6856,44,49,22,17,,17,34,,44,31,,,,,,,,
ALPHA,6828,33,48,19,18,,15,,39,36,,,35,,,,,,
EAST,6818,34,48,14,22,,14,,31,32,32,,,,,,,,
NORTH,6795,17,52,,40,,32,,,,,,,,,,,,
SOUTH,6944,,,,,,,,,,,,,,,,,,
WEST,6827,58,53,77,66,77,66,,,79,,,,,,,,,83
WEST,6924,56,48,81,63,,70,,71,76,,,,,82,,,,
EAST,6947,47,59,89,69,71,70,,,65,,,,,,,,,80
WEST,6743,56,51,97,50,76,71,,67,75,,,,,,,,,
CENTRAL,6891,55,59,67,65,66,65,,75,77,,,,,,,,,
NORTH,6639,62,52,77,54,,56,,83,70,,,,,,,,,79
ALPHA,6732,58,52,73,70,63,71,,74,70,,,,,,,,,
ALPHA,6744,61,52,79,54,70,71,,69,71,,,,,,,,,
WEST,6605,55,58,71,65,64,70,,,73,,,51,,,,,,
ALPHA,6660,55,45,67,72,63,59,,70,75,,,,,,,,,
EAST,6632,49,50,68,62,61,71,,,70,,,,,,,,,75
,6604,53,49,83,60,61,59,,,67,,79,,,,,,,
SOUTH,6724,54,47,82,63,62,64,,74,66,,,,,,,,,
ALPHA,6833,57,50,67,65,70,66,,,67,,,,61,,,,,
EAST,6764,51,45,72,61,,67,,68,69,,,,,70,,,,
EAST,6650,52,55,65,66,52,62,,81,68,,,,,,,,,
WEST,6725,52,50,67,64,65,64,,73,67,,,,,,,,,
SOUTH,6706,60,46,67,59,68,62,,,71,,,,,,,,,68
,6686,55,50,71,64,,55,,71,67,,,,,,,,62,
EAST,6948,43,43,77,61,70,63,,,66,,,,,,,,,75
WEST,6791,48,40,81,52,80,64,,70,64,,,,,,,,,
CENTRAL,6733,59,46,73,66,59,60,,,63,,,,,72,,,,
SOUTH,6820,52,48,78,60,65,54,,66,71,,,,,,,,,
CENTRAL,6846,52,45,57,57,65,69,,,72,,,,,75,,,,
EAST,6710,43,46,63,75,,65,,56,68,,,,,,,,,77
CENTRAL,6817,54,46,61,56,61,63,,78,72,,,,,,,,,
EAST,6758,45,52,83,62,55,57,,,71,,,,,64,,,,
NORTH,6819,44,48,87,52,70,60,,63,69,,,,,,,,,
WEST,6923,48,46,67,54,60,67,,,71,,,,,,,,,73
ALPHA,6938,47,52,61,62,62,62,,65,72,,,,,,,,,
EAST,6862,51,50,72,67,55,63,,,68,,,59,,,,,,
CENTRAL,6739,51,48,81,50,62,64,56,,70,,,,,,,,,
