FORM,STREAM,ADMNO,STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
1,BETA,7850,BETA,7687,80,63,60,81,62,78,73,60,49,nan,nan,80,84,nan,nan,69,nan
1,BETA,7855,CENTRAL,7863,0,90,62,80,53,80,80,55,73,65,nan,nan,87,nan,nan,62,nan
1,BETA,7862,EAST,7703,80,88,nan,58,63,80,87,88,91,nan,nan,nan,70,nan,nan,nan,90
1,BETA,7869,NORTH,7837,60,68,63,71,78,72,55,53,91,nan,nan,68,82,nan,nan,65,nan
1,BETA,7876,BETA,7981,73,68,58,71,73,90,60,69,81,33,nan,nan,87,nan,nan,nan,nan
1,BETA,7883,CENTRAL,7674,0,80,72,58,80,68,75,62,87,nan,65,nan,39,nan,nan,nan,nan
1,BETA,7890,SOUTH,7901,74,93,66,63,70,42,63,77,98,nan,nan,92,74,nan,nan,nan,nan
1,BETA,7897,WEST,7839,56,83,68,71,56,68,58,87,93,nan,nan,76,58,X,nan,nan,nan
1,BETA,7904,NORTH,7704,75,88,70,61,71,72,73,63,88,81,nan,nan,63,nan,nan,nan,85
1,BETA,7911,ALPHA,7826,80,73,38,74,0,68,75,44,92,nan,nan,68,53,nan,nan,nan,82
1,BETA,7918,BETA,7995,68,68,58,67,80,82,75,76,92,nan,nan,68,66,nan,nan,nan,nan
1,BETA,7925,CENTRAL,7835,0,70,90,63,64,72,73,nan,88,nan,63,nan,50,nan,nan,85,nan
1,BETA,7932,NORTH,7991,65,60,73,50,73,80,60,80,80,nan,nan,80,71,nan,nan,nan,93
1,BETA,7939,SOUTH,7824,73,93,56,89,80,58,75,85,84,nan,nan,80,68,nan,nan,nan,nan
1,BETA,7946,BETA,7918,67,78,56,84,51,80,60,49,89,nan,nan,52,61,nan,nan,nan,nan
1,BETA,7953,NORTH,8001,67,58,58,77,49,62,58,82,75,nan,nan,56,72,nan,nan,70,nan
1,BETA,7960,SOUTH,8013,65,70,58,66,40,24,43,60,84,nan,nan,65,61,nan,nan,nan,nan
1,BETA,7967,BETA,7967,72,58,42,83,69,64,75,58,32,23,nan,nan,63,nan,nan,42,nan
1,BETA,7974,EAST,7962,85,83,nan,67,70,80,88,72,83,nan,nan,nan,39,nan,68,nan,nan
1,BETA,7981,nan,7928,70,72,85,50,51,78,68,71,77,72,nan,nan,58,nan,72,nan,nan
1,BETA,7995,NORTH,7977,63,68,73,41,58,70,75,86,89,nan,nan,64,63,nan,nan,nan,93
1,BETA,8002,WEST,7860,63,78,64,74,62,86,53,91,100,66,nan,nan,50,nan,nan,nan,nan
1,BETA,8009,ALPHA,7994,67,57,62,48,56,54,70,44,94,nan,nan,72,47,nan,84,nan,nan
1,BETA,8016,BETA,7743,83,50,58,81,69,62,65,67,70,nan,nan,56,58,nan,nan,nan,nan
1,BETA,8028,CENTRAL,7912,0,80,66,68,36,80,73,58,95,55,nan,nan,61,62,nan,nan,nan
1,BETA,8035,NORTH,7697,0,58,73,76,49,70,68,63,82,nan,nan,88,82,81,nan,nan,nan
1,BETA,8042,BETA,7953,65,72,58,84,84,78,70,73,80,nan,nan,84,74,nan,72,nan,nan
1,BETA,8050,CENTRAL,7982,0,65,48,78,33,60,78,51,75,nan,nan,68,50,nan,nan,nan,nan
1,BETA,8067,nan,7899,70,70,nan,60,60,82,79,64,91,65,nan,nan,61,nan,nan,nan,52
1,BETA,8074,EAST,8018,85,78,nan,40,50,X,80,72,82,57,nan,nan,53,nan,nan,nan,87
1,BETA,8081,NORTH,7774,57,20,90,56,36,20,78,48,87,73,nan,nan,37,77,nan,nan,nan
1,BETA,8088,SOUTH,8046,66,88,54,83,30,X,68,83,93,nan,59,nan,68,58,nan,nan,nan
1,BETA,8094,WEST,8079,68,65,64,86,64,82,60,80,96,nan,47,nan,70,nan,72,nan,nan
1,BETA,8096,ALPHA,8073,62,70,44,51,60,47,53,72,86,nan,nan,44,63,nan,nan,nan,75
1,BETA,8097,ALPHA,7840,77,81,76,62,36,68,58,62,72,nan,nan,72,76,88,nan,nan,nan
1,BETA,8098,CENTRAL,7786,0,68,68,63,40,52,48,44,82,48,nan,nan,53,nan,nan,nan,nan
1,BETA,8102,WEST,7776,66,93,50,89,38,78,75,80,91,nan,nan,84,97,nan,nan,nan,nan
1,BETA,8117,nan,7988,63,73,64,65,75,72,55,74,89,nan,49,nan,76,nan,nan,nan,97
1,CENTRAL,7674,nan,8015,70,62,58,17,0,45,58,34,48,37,nan,nan,37,nan,nan,nan,82
1,CENTRAL,7681,ALPHA,8080,75,70,54,71,71,60,73,64,94,53,nan,nan,74,73,nan,nan,nan
1,CENTRAL,7688,BETA,7974,72,80,58,82,82,82,83,78,89,nan,64,nan,71,nan,nan,63,nan
1,CENTRAL,7695,nan,7795,72,70,58,68,58,62,45,63,78,nan,nan,72,50,nan,nan,nan,70
1,CENTRAL,7702,NORTH,7823,77,72,93,50,56,72,48,42,78,60,nan,nan,51,nan,nan,nan,83
1,CENTRAL,7709,SOUTH,7894,79,85,50,60,20,26,55,45,91,nan,nan,60,47,nan,nan,nan,nan
1,CENTRAL,7716,nan,7825,75,83,70,77,71,78,70,76,93,nan,nan,76,63,nan,nan,78,nan
1,CENTRAL,7723,nan,7944,69,90,38,91,82,86,78,78,87,nan,nan,60,74,nan,nan,nan,nan
1,CENTRAL,7737,WEST,8065,55,78,50,86,47,84,83,71,96,nan,nan,72,82,nan,64,nan,nan
1,CENTRAL,7744,BETA,7771,58,52,66,78,69,68,58,62,94,38,nan,nan,66,nan,nan,nan,nan
1,CENTRAL,7751,CENTRAL,7877,0,75,74,60,60,82,80,44,75,nan,nan,68,71,nan,nan,54,nan
1,CENTRAL,7758,EAST,7822,83,70,nan,65,55,84,68,60,75,60,nan,nan,59,nan,nan,nan,65
1,CENTRAL,7765,SOUTH,7838,56,88,48,91,56,66,68,91,93,38,nan,nan,82,nan,nan,nan,nan
1,CENTRAL,7772,ALPHA,7924,78,68,52,51,64,84,80,80,88,nan,nan,52,58,nan,nan,nan,90
1,CENTRAL,7779,nan,7856,0,85,78,80,42,80,78,58,84,nan,77,nan,63,83,nan,nan,nan
1,CENTRAL,7786,CENTRAL,8049,0,50,58,72,62,78,60,58,82,27,nan,nan,82,nan,nan,nan,nan
1,CENTRAL,7793,WEST,7811,68,95,66,71,62,86,50,78,91,nan,nan,68,55,81,nan,nan,nan
1,CENTRAL,7800,BETA,7680,62,38,72,62,71,76,65,60,79,nan,74,nan,55,nan,68,nan,nan
1,CENTRAL,7807,EAST,7801,58,80,nan,X,50,78,72,88,0,nan,nan,nan,39,nan,nan,nan,83
1,CENTRAL,7814,NORTH,7900,72,45,88,27,69,60,40,48,71,nan,nan,44,71,nan,nan,nan,83
1,CENTRAL,7821,SOUTH,7803,60,90,54,71,52,78,65,68,96,60,nan,nan,68,nan,nan,nan,nan
1,CENTRAL,7828,WEST,7762,68,75,56,83,58,84,70,73,91,nan,nan,44,63,nan,nan,nan,nan
1,CENTRAL,7835,CENTRAL,7758,0,68,56,72,56,66,68,60,88,37,nan,nan,53,nan,nan,nan,nan
1,CENTRAL,7849,NORTH,8091,72,70,80,56,44,66,40,65,75,79,nan,nan,74,nan,nan,65,nan
1,CENTRAL,7856,WEST,7692,0,93,67,80,62,70,55,84,96,61,nan,nan,68,nan,nan,nan,nan
1,CENTRAL,7863,BETA,7897,65,68,38,70,67,26,65,47,40,nan,nan,80,66,nan,nan,nan,nan
1,CENTRAL,7870,EAST,8057,63,90,nan,60,30,76,80,60,91,57,nan,nan,47,nan,88,nan,nan
1,CENTRAL,7877,NORTH,8005,68,45,58,65,22,52,73,59,92,nan,nan,72,54,nan,nan,nan,97
1,CENTRAL,7884,SOUTH,7943,65,88,62,74,55,82,63,62,76,57,nan,nan,78,nan,nan,62,nan
1,CENTRAL,7885,ALPHA,7756,70,54,64,80,75,68,73,70,97,47,nan,nan,84,nan,nan,48,nan
1,CENTRAL,7891,nan,7922,78,83,56,69,80,58,63,55,89,nan,55,nan,53,nan,nan,nan,nan
1,CENTRAL,7898,SOUTH,8006,74,90,60,74,65,72,45,57,84,nan,56,nan,76,nan,nan,nan,nan
1,CENTRAL,7905,WEST,7699,65,68,56,83,64,78,58,75,80,nan,nan,60,50,71,nan,nan,nan
